credit_history,employment_status,collateral,payment_history,type_of_credit_accounts,public_records_and_collections,purpose_of_loan,income,assets_value,debt_to_income_ratio,length_of_credit_history,number_of_credit_inquiries,number_of_credit_accounts,number_of_credit_accounts_opened_last_12_months,current_balance_of_credit_accounts,total_credit_limit,total_credit_utilization,loan_amount,saving_account_balance,approval_status
Good,Self-Employed,Investment,Poor,Student,Tax Lien,Business,44278,42937,46,83,5,3,1,5933,12915,44,4607,6568,Approved
Good,Employed,Car,Excellent,Personal,Collection,Debt Consolidation,42227,21854,8,20,2,1,0,17991,5512,36,3108,3857,Approved
Excellent,Self-Employed,Land,Poor,Auto,None,Business,48303,32390,73,47,4,3,1,2942,3316,72,4700,17568,Rejected
Good,Self-Employed,House,Good,Student,Judgement,Car Financing,24331,26163,74,29,5,1,5,10425,10497,22,3387,13048,Approved
Excellent,Employed,Car,Fair,Student,Collection,Car Financing,37153,19739,86,79,4,3,1,16443,11885,76,1584,12659,Rejected
Good,Employed,Other,Good,Auto,Judgement,Other,30609,10345,55,50,0,2,3,2337,2298,87,2038,752,Rejected
Excellent,Employed,None,Excellent,Auto,Judgement,Debt Consolidation,26312,22717,58,51,3,3,4,4606,10805,37,4392,18648,Rejected
Poor,Unemployed,House,Excellent,Personal,None,Business,21791,13230,58,56,4,5,1,13689,17702,40,4937,17735,Rejected
Fair,Unemployed,House,Fair,Student,None,Business,10524,15004,36,37,1,4,4,7017,19176,7,4325,11439,Rejected
Excellent,Unemployed,None,Excellent,Student,Bankruptcy,Debt Consolidation,48292,25014,55,46,1,0,2,3284,12021,82,4162,19894,Rejected
Poor,Employed,Car,Fair,Personal,Collection,Car Financing,44907,49448,30,46,1,2,3,16799,482,28,2555,14520,Rejected
Good,Employed,House,Good,Other,Judgement,Other,44707,35464,74,38,1,4,4,14550,14170,13,1464,7778,Approved
Excellent,Unemployed,Other,Excellent,Auto,Collection,Other,28807,35470,44,38,5,1,0,11379,8661,22,1990,7988,Rejected
Poor,Employed,Investment,Poor,Student,Tax Lien,Debt Consolidation,46785,46960,14,82,0,3,0,1701,5861,19,4247,13155,Rejected
Fair,Employed,Car,Poor,Other,Other,Home Improvement,41569,17295,29,32,0,4,1,12703,11021,30,1775,2308,Rejected
Poor,Self-Employed,Land,Good,Personal,Judgement,Debt Consolidation,44263,48568,20,66,5,4,1,10225,10093,33,4952,8141,Rejected
Good,Employed,Car,Poor,Mortgage,Judgement,Home Improvement,40561,18830,45,85,0,3,2,1648,19734,31,1755,12928,Approved
Poor,Unemployed,Investment,Poor,Mortgage,Judgement,Debt Consolidation,38902,34472,2,50,3,4,1,10,623,92,3681,13015,Rejected
Good,Employed,House,Good,Student,Collection,Other,49905,13967,6,54,4,2,4,7451,8669,85,2735,10404,Approved
Poor,Employed,None,Excellent,Auto,None,Home Improvement,15602,13633,9,75,2,0,5,10812,9258,56,3050,1729,Rejected
Excellent,Unemployed,Other,Poor,Other,Judgement,Home Improvement,35651,29525,62,61,0,1,3,19580,15484,30,1392,16709,Rejected
Fair,Self-Employed,Car,Excellent,Other,Other,Business,32799,35468,77,31,4,2,1,1223,9592,75,2854,18999,Rejected
Good,Self-Employed,Car,Fair,Mortgage,Judgement,Car Financing,16560,25766,42,13,0,5,1,13342,6479,76,1250,8494,Approved
Fair,Unemployed,Land,Fair,Other,Other,Debt Consolidation,17047,28165,86,40,4,4,0,9902,4240,54,2928,8332,Rejected
Good,Employed,Investment,Excellent,Mortgage,Collection,Car Financing,49955,42752,21,24,1,5,5,19668,16672,64,4668,14871,Approved
Poor,Employed,House,Poor,Auto,Other,Debt Consolidation,31835,31028,65,62,4,3,0,3305,17711,32,1222,17498,Rejected
Poor,Employed,None,Fair,Other,Judgement,Car Financing,14148,40018,1,74,2,0,5,14243,12632,8,2694,12790,Rejected
Fair,Unemployed,House,Excellent,Other,Other,Business,23595,22941,70,51,0,1,3,8819,8170,80,2085,14295,Rejected
Poor,Employed,None,Poor,Auto,Collection,Other,37977,31858,95,30,5,3,3,3819,8360,29,3212,4568,Rejected
Fair,Employed,Car,Poor,Auto,Judgement,Home Improvement,16084,36994,7,13,0,3,3,14480,19852,87,1410,915,Rejected
Excellent,Employed,Investment,Good,Student,Tax Lien,Other,21095,30657,29,70,1,2,0,17477,11994,85,1303,7965,Rejected
Good,Self-Employed,Car,Good,Student,Judgement,Home Improvement,36851,25439,38,98,1,3,4,18556,14830,61,4785,13768,Rejected
Good,Self-Employed,Other,Good,Auto,Collection,Debt Consolidation,47909,38594,80,82,2,4,0,10086,8199,14,4648,19155,Approved
Excellent,Employed,Other,Good,Personal,Judgement,Debt Consolidation,18089,18164,78,44,1,3,5,4784,12920,59,1886,7582,Rejected
Fair,Self-Employed,House,Poor,Student,Bankruptcy,Other,10145,25476,12,13,1,1,1,15551,6015,2,1603,2996,Rejected
Excellent,Employed,House,Excellent,Student,Tax Lien,Debt Consolidation,12600,33022,70,61,3,3,2,440,13178,36,1206,15720,Rejected
Excellent,Employed,Car,Good,Other,None,Debt Consolidation,24277,29454,67,46,1,1,1,4235,8163,44,1154,5924,Rejected
Poor,Unemployed,Other,Good,Student,None,Debt Consolidation,35964,31557,76,52,4,2,2,396,11241,47,3352,876,Rejected
Fair,Unemployed,None,Good,Student,None,Debt Consolidation,14967,47676,49,46,0,5,4,13145,12968,97,4548,5814,Rejected
Excellent,Unemployed,Land,Excellent,Mortgage,None,Other,43075,23783,47,51,2,3,5,12778,1705,42,1364,8697,Rejected
Good,Unemployed,None,Fair,Mortgage,Bankruptcy,Other,19787,39686,23,36,4,0,4,16530,17803,25,3806,10243,Rejected
Fair,Unemployed,Other,Poor,Student,Collection,Other,44937,17089,70,78,3,4,1,9212,15033,8,1944,14762,Rejected
Excellent,Employed,Investment,Fair,Auto,Collection,Car Financing,47314,21967,83,72,0,5,5,1302,5172,11,1517,15185,Rejected
Excellent,Unemployed,Investment,Poor,Auto,None,Other,39707,19021,6,0,5,3,2,10705,9635,29,4260,17760,Rejected
Excellent,Employed,House,Poor,Personal,Bankruptcy,Home Improvement,10361,20414,8,76,1,3,0,2819,6199,35,1641,11114,Rejected
Excellent,Employed,Land,Good,Auto,Other,Debt Consolidation,21709,33227,94,85,3,3,4,6832,2927,71,2906,15869,Rejected
Fair,Employed,House,Poor,Personal,Other,Debt Consolidation,30002,13364,97,53,5,3,4,14860,19353,57,3304,3548,Rejected
Fair,Self-Employed,Land,Fair,Student,Bankruptcy,Other,10436,36247,55,52,4,4,4,14551,2122,63,1997,18139,Rejected
Poor,Self-Employed,Investment,Good,Other,Collection,Car Financing,26429,21753,26,18,2,5,0,9880,7573,97,4149,1383,Rejected
Fair,Self-Employed,Land,Poor,Mortgage,Other,Business,39274,26934,77,6,5,0,2,5218,9683,5,2053,19014,Rejected
Poor,Employed,None,Poor,Personal,Collection,Other,30348,12273,5,58,0,3,3,12426,15462,5,3437,10637,Rejected
Fair,Self-Employed,None,Excellent,Mortgage,Tax Lien,Business,36351,24574,68,95,2,1,2,280,12250,66,4464,8384,Rejected
Excellent,Employed,Other,Fair,Personal,Tax Lien,Car Financing,22095,23758,71,15,1,1,4,11261,15131,88,1526,340,Rejected
Fair,Self-Employed,House,Poor,Personal,None,Debt Consolidation,26781,10266,56,22,2,4,2,363,10836,97,3089,10471,Rejected
Good,Self-Employed,None,Poor,Auto,Other,Car Financing,19513,35656,65,94,0,1,2,15712,8275,40,2182,16056,Approved
Excellent,Employed,Car,Poor,Student,Bankruptcy,Debt Consolidation,12160,40986,73,33,0,4,0,14640,14087,28,1214,18576,Rejected
Excellent,Unemployed,Car,Excellent,Student,Judgement,Home Improvement,16905,36027,1,63,5,2,2,8246,15219,64,1399,18799,Rejected
Excellent,Employed,Other,Fair,Other,Other,Business,26739,15612,84,37,2,5,0,5533,3040,5,1174,18268,Rejected
Good,Unemployed,Other,Poor,Other,None,Other,30491,17209,48,67,3,0,2,10817,10369,11,2268,9622,Rejected
Good,Self-Employed,House,Fair,Personal,Bankruptcy,Debt Consolidation,12769,12859,91,27,4,1,0,7840,17289,50,3130,4953,Rejected
Good,Employed,Other,Poor,Personal,Bankruptcy,Car Financing,48748,35504,78,16,5,4,5,7077,14481,7,1918,692,Rejected
Poor,Self-Employed,Other,Fair,Mortgage,Collection,Business,13768,37809,12,29,3,2,3,7155,12083,52,3522,10416,Rejected
Good,Unemployed,House,Excellent,Auto,Bankruptcy,Home Improvement,32406,44043,84,84,2,3,1,1369,18081,86,2311,14782,Rejected
Excellent,Employed,Other,Fair,Other,Collection,Other,42690,44378,19,96,2,4,4,19506,10884,22,4001,5410,Rejected
Good,Self-Employed,Other,Fair,Student,Bankruptcy,Business,48096,25654,11,74,3,5,0,9469,10758,64,1246,4471,Approved
Poor,Unemployed,Investment,Fair,Personal,None,Debt Consolidation,43503,37800,6,41,2,1,0,10681,4452,50,4907,8914,Rejected
Good,Employed,Other,Excellent,Student,Other,Home Improvement,26765,41048,57,34,3,5,0,7325,4401,90,1446,13658,Approved
Fair,Self-Employed,Investment,Excellent,Mortgage,Judgement,Car Financing,13104,13951,16,64,1,0,2,1341,14782,12,3572,4883,Rejected
Fair,Self-Employed,Car,Excellent,Mortgage,None,Car Financing,17959,43548,76,26,1,1,4,16410,13239,69,4344,4064,Rejected
Fair,Self-Employed,Other,Excellent,Mortgage,None,Business,11915,16328,68,18,5,2,0,5316,18209,4,4154,5070,Rejected
Good,Employed,Investment,Poor,Other,Tax Lien,Debt Consolidation,34521,11746,9,64,5,5,0,2272,19540,14,2768,858,Rejected
Fair,Self-Employed,House,Excellent,Auto,Other,Car Financing,11594,42149,23,92,0,0,0,9912,3869,52,2940,5400,Rejected
Poor,Self-Employed,House,Excellent,Student,Bankruptcy,Business,27063,13618,34,63,0,1,1,7222,18485,73,4570,6426,Rejected
Fair,Unemployed,Investment,Fair,Auto,Collection,Business,26481,48588,7,63,4,3,3,479,3978,81,3711,8520,Rejected
Good,Unemployed,Other,Good,Student,Collection,Business,36208,43899,25,42,4,3,0,54,1378,60,2857,12046,Rejected
Fair,Unemployed,Investment,Excellent,Auto,Collection,Other,34301,19081,28,63,5,2,3,13843,10407,69,4604,2957,Rejected
Good,Employed,Land,Good,Auto,Tax Lien,Other,43468,27005,75,56,2,5,1,4072,8771,4,1267,53,Rejected
Excellent,Unemployed,Car,Fair,Personal,Tax Lien,Debt Consolidation,29757,25424,60,60,3,0,3,18272,13894,69,2205,5060,Rejected
Good,Self-Employed,House,Fair,Other,Collection,Home Improvement,49205,49202,96,76,5,4,1,15585,2275,19,1590,6361,Approved
Fair,Self-Employed,Land,Good,Student,Tax Lien,Home Improvement,27671,10630,20,72,2,2,5,7485,19340,19,2098,6108,Rejected
Excellent,Self-Employed,Land,Excellent,Student,Other,Business,16168,38898,61,6,5,5,1,11189,13040,52,1071,9779,Rejected
Good,Self-Employed,Other,Poor,Other,Collection,Car Financing,46736,10269,61,88,5,1,2,2859,6841,46,1406,10995,Approved
Good,Self-Employed,House,Excellent,Student,Judgement,Debt Consolidation,24800,40853,49,12,2,4,3,1329,16369,72,2448,18758,Rejected
Good,Employed,None,Good,Mortgage,Judgement,Business,31415,13285,63,15,3,2,0,2295,3221,2,4934,16217,Approved
Excellent,Unemployed,Land,Good,Mortgage,Other,Home Improvement,29419,43453,97,92,0,3,4,19633,8136,82,1468,17545,Rejected
Excellent,Self-Employed,Land,Excellent,Personal,Other,Debt Consolidation,40276,21356,37,83,3,2,2,19440,3777,90,3363,19660,Rejected
Poor,Employed,Investment,Fair,Auto,Collection,Other,11752,26683,20,58,2,2,3,7106,3747,47,2497,9134,Rejected
Poor,Unemployed,Other,Good,Student,None,Home Improvement,27408,25039,65,5,0,5,3,16140,11605,99,3898,3791,Rejected
Fair,Self-Employed,Car,Fair,Student,Tax Lien,Business,17649,36359,51,75,5,4,5,1813,16007,48,2405,16656,Rejected
Good,Employed,Land,Good,Auto,Bankruptcy,Car Financing,46688,30268,29,67,2,2,1,8397,18993,100,4138,12914,Approved
Excellent,Unemployed,House,Fair,Mortgage,Judgement,Debt Consolidation,30164,41100,94,2,3,3,5,13397,1702,32,4969,15482,Rejected
Fair,Self-Employed,Car,Fair,Personal,Tax Lien,Business,18786,42328,19,91,1,0,2,10450,15478,67,1666,18122,Rejected
Excellent,Employed,Investment,Good,Mortgage,Bankruptcy,Other,34867,46711,95,32,1,2,0,14209,2811,71,3843,5575,Rejected
Excellent,Self-Employed,Land,Good,Auto,None,Business,27179,33101,69,78,0,3,2,7263,6822,91,3223,18301,Rejected
Fair,Self-Employed,Other,Fair,Student,Tax Lien,Other,48396,27037,9,49,3,3,2,13797,1102,2,3894,7769,Rejected
Good,Unemployed,Investment,Excellent,Auto,Tax Lien,Car Financing,13955,38666,11,79,3,1,0,8604,18462,22,1072,14438,Approved
Poor,Self-Employed,Investment,Excellent,Student,Judgement,Home Improvement,25830,28783,40,7,0,1,3,18072,19306,36,1470,13007,Rejected
Good,Employed,Other,Good,Other,Tax Lien,Home Improvement,16094,14279,50,98,4,2,3,12418,13380,66,1374,2811,Rejected
Poor,Unemployed,None,Good,Auto,Collection,Business,22266,38027,94,45,2,0,1,9574,8362,33,4604,12088,Rejected
Poor,Unemployed,Other,Fair,Mortgage,Other,Other,44781,21960,70,20,3,1,1,6863,2905,67,1969,9649,Rejected
Poor,Self-Employed,Car,Excellent,Student,Collection,Car Financing,31342,15613,12,87,4,1,1,734,7946,71,4344,12075,Rejected
Good,Unemployed,Car,Excellent,Other,Collection,Other,34685,41965,100,61,5,0,4,8055,11666,10,3309,11176,Rejected
Fair,Unemployed,Investment,Fair,Personal,Tax Lien,Car Financing,40579,23949,27,86,2,3,3,9208,15790,40,3790,9664,Rejected
Fair,Unemployed,Land,Excellent,Mortgage,Judgement,Debt Consolidation,18671,40478,47,14,0,0,3,11561,18359,16,2256,11895,Rejected
Poor,Unemployed,Investment,Excellent,Student,Judgement,Home Improvement,45858,38067,50,46,0,4,5,17330,6423,12,1373,1991,Rejected
Fair,Employed,House,Fair,Mortgage,Other,Debt Consolidation,11250,17767,5,91,5,5,3,4339,12355,12,4659,6383,Rejected
Good,Self-Employed,Other,Excellent,Other,Judgement,Home Improvement,11191,15626,86,64,2,2,0,5869,11647,90,1437,14999,Rejected
Poor,Unemployed,Car,Poor,Auto,Other,Business,35405,15713,63,15,0,3,2,9144,14612,22,3094,4737,Rejected
Poor,Self-Employed,Investment,Fair,Other,Bankruptcy,Other,23981,19213,70,18,3,3,5,7719,8322,63,3884,9305,Rejected
Fair,Self-Employed,Investment,Poor,Personal,Bankruptcy,Car Financing,46917,21528,57,58,4,5,0,2560,11142,58,4027,4466,Rejected
Poor,Employed,Other,Fair,Student,Other,Other,13853,14841,46,18,0,5,2,10463,17257,52,3743,18236,Rejected
Fair,Employed,Car,Excellent,Mortgage,Collection,Other,40051,18722,32,42,1,1,1,12713,9646,98,2673,15539,Rejected
Excellent,Unemployed,Investment,Excellent,Personal,Bankruptcy,Car Financing,35338,25057,57,1,0,5,0,4759,335,66,4960,5745,Rejected
Good,Unemployed,House,Excellent,Mortgage,Judgement,Other,48353,27158,14,79,4,3,2,7900,14304,98,4902,10131,Rejected
Fair,Self-Employed,Land,Excellent,Personal,Other,Business,17013,10096,25,23,5,1,1,13395,19604,22,2040,6820,Rejected
Poor,Self-Employed,Other,Fair,Personal,Collection,Home Improvement,31142,31894,95,11,1,3,0,11473,6553,37,3920,13617,Rejected
Good,Employed,Investment,Fair,Personal,None,Business,29984,28908,74,67,5,1,1,19975,1216,54,2012,15216,Approved
Excellent,Self-Employed,House,Good,Auto,Collection,Car Financing,31533,12639,65,90,2,1,4,602,4864,3,3990,9174,Rejected
Poor,Employed,Other,Excellent,Personal,None,Business,10870,22197,94,46,2,3,2,766,14085,48,1527,10094,Rejected
Fair,Self-Employed,Land,Good,Other,Judgement,Debt Consolidation,35363,11692,76,30,0,1,0,4005,3917,95,2367,16482,Rejected
Excellent,Employed,Investment,Poor,Auto,Collection,Car Financing,27195,21362,91,71,0,4,1,715,17457,31,1817,7906,Rejected
Excellent,Self-Employed,Investment,Fair,Mortgage,Judgement,Debt Consolidation,20495,41561,91,61,3,3,3,3162,7986,40,4574,15813,Rejected
Excellent,Employed,Investment,Poor,Personal,Tax Lien,Other,20986,18689,23,99,1,2,3,6461,13182,45,1831,12268,Rejected
Poor,Unemployed,House,Excellent,Other,Tax Lien,Home Improvement,39176,13159,24,90,1,1,4,4946,6897,76,3949,8225,Rejected
Excellent,Self-Employed,Other,Excellent,Student,Bankruptcy,Business,28209,49369,12,2,1,1,1,3913,15,17,2329,8725,Rejected
Poor,Self-Employed,Other,Excellent,Auto,Collection,Business,35002,31429,77,71,0,4,1,18267,4226,70,2439,17168,Rejected
Fair,Unemployed,Land,Good,Personal,None,Home Improvement,45421,45179,60,34,3,1,0,13535,10101,75,3531,8691,Rejected
Fair,Self-Employed,Car,Poor,Personal,Other,Home Improvement,16889,27777,16,80,4,0,4,17387,4779,61,3967,11532,Rejected
Fair,Self-Employed,House,Good,Other,Tax Lien,Business,41931,31103,98,61,4,5,1,2130,18713,15,2356,4623,Rejected
Poor,Employed,Land,Poor,Mortgage,Tax Lien,Business,45204,25637,47,87,0,4,5,14977,10548,29,3461,19945,Rejected
Good,Self-Employed,Car,Excellent,Other,Other,Home Improvement,32206,46563,32,46,0,2,2,2627,12005,6,4664,2218,Rejected
Poor,Unemployed,Land,Good,Personal,None,Home Improvement,42189,11438,99,87,2,5,1,11086,7596,3,4995,2517,Rejected
Fair,Employed,Investment,Good,Personal,Bankruptcy,Car Financing,37983,14669,34,56,2,4,0,5362,5233,49,1889,3803,Rejected
Poor,Employed,Investment,Poor,Auto,Bankruptcy,Other,18708,14989,10,31,1,0,3,12163,5146,56,4214,17989,Rejected
Good,Self-Employed,Other,Poor,Personal,None,Other,26189,12655,62,20,1,1,0,13782,18953,17,3056,10118,Rejected
Fair,Self-Employed,Car,Poor,Auto,Judgement,Car Financing,39564,11378,62,4,2,4,0,11198,17165,55,4337,19741,Rejected
Fair,Unemployed,Investment,Fair,Other,Bankruptcy,Home Improvement,43850,27460,11,46,3,3,2,12230,12043,94,2794,848,Rejected
Good,Employed,Car,Excellent,Personal,Collection,Business,31546,35644,43,34,1,1,0,18580,6759,88,4550,8406,Rejected
Good,Unemployed,Investment,Good,Other,Bankruptcy,Home Improvement,47638,20347,11,30,2,0,3,6808,13688,1,1977,12896,Rejected
Poor,Self-Employed,House,Good,Mortgage,Other,Car Financing,25729,24494,10,69,3,1,1,12449,2099,28,3620,14783,Rejected
Good,Self-Employed,Other,Fair,Student,Judgement,Business,46973,12385,49,21,5,1,0,12988,5796,42,3886,11949,Rejected
Fair,Unemployed,House,Poor,Other,Judgement,Business,22481,35656,55,92,2,3,3,7333,12532,61,4291,1807,Rejected
Good,Employed,None,Good,Personal,Collection,Other,11819,30774,60,66,3,2,5,10612,10378,54,1501,15932,Approved
Fair,Unemployed,Car,Poor,Mortgage,Bankruptcy,Home Improvement,43106,38890,16,82,4,4,2,13237,4068,72,1489,12695,Rejected
Poor,Self-Employed,Car,Excellent,Auto,Other,Home Improvement,13634,49054,59,48,0,0,0,12870,17892,48,4917,3482,Rejected
Poor,Self-Employed,Land,Poor,Mortgage,Bankruptcy,Business,20734,13106,11,42,5,3,4,15364,11103,58,1379,9080,Rejected
Fair,Self-Employed,Car,Excellent,Personal,Other,Car Financing,18535,40420,76,50,5,3,5,2596,7755,61,4058,15109,Rejected
Good,Unemployed,Investment,Fair,Personal,None,Car Financing,46572,41751,64,12,5,3,5,12266,13436,3,2935,6203,Rejected
Excellent,Self-Employed,Car,Fair,Other,Other,Other,32977,44655,60,30,3,1,3,5300,940,36,3239,14248,Rejected
Good,Self-Employed,Other,Fair,Auto,Other,Debt Consolidation,32022,28714,36,38,4,0,0,12853,10438,35,1427,1150,Rejected
Good,Employed,Investment,Poor,Other,None,Home Improvement,18361,36804,47,79,4,5,0,13191,10837,60,2435,9536,Approved
Excellent,Self-Employed,Investment,Excellent,Student,None,Other,41978,41180,12,29,3,1,4,19621,6799,25,2988,12335,Rejected
Fair,Unemployed,Car,Fair,Personal,None,Other,45862,46879,46,46,1,3,3,10009,12516,54,2600,8120,Rejected
Fair,Employed,Car,Good,Other,Other,Business,21975,47382,91,52,0,3,0,14909,18221,48,4066,19296,Rejected
Good,Employed,Other,Excellent,Personal,Judgement,Business,11929,38112,31,59,1,3,5,16869,10070,15,3961,1186,Rejected
Poor,Self-Employed,Other,Good,Student,Bankruptcy,Business,12399,40960,93,8,3,4,2,7006,8793,41,2613,5980,Rejected
Poor,Employed,Car,Excellent,Student,Tax Lien,Car Financing,40182,22852,60,65,3,4,1,19567,11372,85,2804,4038,Rejected
Fair,Unemployed,House,Poor,Personal,Bankruptcy,Car Financing,19035,18778,47,31,4,2,1,6619,4192,48,2883,4629,Rejected
Good,Unemployed,Investment,Fair,Personal,Other,Car Financing,21868,10218,5,32,0,4,3,5914,18294,64,3339,14887,Rejected
Excellent,Unemployed,Other,Excellent,Student,Tax Lien,Other,14715,33154,65,12,0,4,1,3900,3273,21,3412,8284,Rejected
Good,Self-Employed,Investment,Good,Mortgage,Other,Business,37865,13121,46,84,4,2,4,17654,17908,95,2009,11910,Rejected
Good,Self-Employed,Land,Good,Auto,Tax Lien,Other,40910,27694,64,10,1,4,4,19153,11418,33,4311,19346,Approved
Poor,Unemployed,None,Fair,Auto,Collection,Business,38286,42816,41,10,1,2,1,1821,12496,17,1450,5262,Rejected
Good,Unemployed,Land,Poor,Auto,Tax Lien,Business,23504,13855,9,82,4,3,2,19525,14676,80,2595,5960,Rejected
Fair,Employed,Investment,Excellent,Personal,Tax Lien,Car Financing,31469,37670,68,9,5,3,0,19826,18827,25,4019,17209,Rejected
Good,Unemployed,House,Fair,Other,Judgement,Home Improvement,29064,45271,61,57,4,3,1,19177,15294,23,1943,4472,Rejected
Fair,Self-Employed,Land,Fair,Personal,Judgement,Debt Consolidation,31590,10586,82,43,3,0,3,10664,7126,71,1198,17250,Rejected
Poor,Employed,Investment,Excellent,Personal,Other,Debt Consolidation,20959,17647,25,19,5,0,5,3793,19831,5,4925,6310,Rejected
Fair,Employed,Land,Poor,Personal,Tax Lien,Debt Consolidation,18293,18747,48,89,5,3,1,14226,6950,11,4224,8151,Rejected
Good,Unemployed,House,Good,Personal,Tax Lien,Other,25453,46198,3,62,5,1,2,16349,18056,0,3972,5306,Rejected
Fair,Unemployed,None,Poor,Student,Bankruptcy,Business,29878,30219,73,25,0,3,4,16422,16068,1,4491,12595,Rejected
Good,Unemployed,Investment,Good,Mortgage,Collection,Home Improvement,26767,43408,71,34,5,4,0,835,6210,22,2988,4916,Rejected
Good,Employed,Land,Good,Other,Judgement,Business,38110,46968,33,28,1,2,0,19933,12647,59,2729,9786,Approved
Fair,Self-Employed,House,Good,Student,Judgement,Other,14104,22740,48,61,4,4,5,6240,7712,55,3177,11090,Rejected
Good,Unemployed,Investment,Fair,Auto,Other,Debt Consolidation,48302,29596,19,60,5,2,2,226,15596,81,3089,14829,Rejected
Fair,Self-Employed,Car,Good,Student,Bankruptcy,Other,49179,44706,81,42,2,4,2,3908,13596,19,2174,18459,Rejected
Poor,Employed,Land,Fair,Student,Other,Home Improvement,11504,37764,84,5,3,0,1,15023,6788,90,4102,17071,Rejected
Good,Unemployed,Other,Excellent,Auto,Tax Lien,Other,12395,27271,90,95,3,0,2,9252,9878,47,3665,5811,Rejected
Good,Employed,None,Excellent,Student,None,Car Financing,44671,40774,85,7,4,1,3,12726,19786,58,3756,2793,Rejected
Fair,Employed,None,Fair,Other,None,Other,15878,40251,67,26,0,2,2,6288,13604,36,3504,3271,Rejected
Good,Unemployed,Car,Good,Auto,Judgement,Other,17394,29510,16,46,4,1,4,11240,13301,73,2371,10435,Approved
Excellent,Self-Employed,Investment,Fair,Personal,Collection,Home Improvement,27793,32973,49,4,0,2,2,9752,8380,44,3969,3215,Rejected
Fair,Self-Employed,Land,Poor,Personal,None,Car Financing,44928,41452,96,12,3,3,2,163,19760,5,3421,1161,Rejected
Excellent,Unemployed,House,Excellent,Mortgage,Bankruptcy,Home Improvement,16863,46526,55,42,1,3,3,17404,4461,62,3850,8558,Rejected
Excellent,Unemployed,Land,Good,Mortgage,Other,Other,42990,12242,7,69,5,4,4,14801,7592,5,3321,7317,Rejected
Good,Employed,Car,Good,Auto,Collection,Home Improvement,41830,48470,11,41,2,5,4,11751,16475,75,3685,4162,Approved
Good,Employed,Investment,Good,Student,Tax Lien,Other,28330,11950,14,85,2,3,0,181,7021,99,2519,17564,Approved
Excellent,Unemployed,Car,Fair,Mortgage,Other,Home Improvement,35536,47793,95,42,4,5,0,13356,4969,5,4395,19568,Rejected
Fair,Unemployed,None,Poor,Other,Collection,Business,25932,37398,99,89,5,1,4,998,14714,94,3550,17760,Rejected
Poor,Self-Employed,None,Fair,Other,Tax Lien,Business,12466,35619,26,3,3,2,5,18354,9030,5,2228,19768,Rejected
Good,Employed,Other,Poor,Student,None,Home Improvement,18561,23741,12,100,1,4,2,18277,18047,33,2411,16367,Approved
Fair,Employed,Land,Poor,Auto,Tax Lien,Debt Consolidation,25507,47643,44,78,4,3,1,6718,17314,42,3966,15453,Rejected
Good,Employed,Land,Good,Student,Judgement,Other,29399,11074,52,12,2,0,2,13457,11203,90,4583,19735,Approved
Poor,Self-Employed,Land,Poor,Mortgage,Collection,Other,23367,43056,71,57,1,4,3,2654,3668,25,1559,1436,Rejected
